CATEGORIA,CLAVE,DESCRIPCIÓN, PRECIO 
ANTIVIRUS,SOKY10,"-NVO- (TMKS-030) ANTIVIRUS KASPERSKY INTERNET SECURITY 2012, 1 USUARIO / 1 AÑO",389.12
ANTIVIRUS,SOKY28,(TMKS-037) ANTIVIRUS KASPERSKY ONE UNIVERSAL SECURITY 5 USUARIOS /1AÑO,967.89
ANTIVIRUS,SONO53157,(20053157) NORTON INT. SECURITY 2010 ESP 1 USER USB (PARA NETBOOK),413.55
ANTIVIRUS,SOTP2,(TPAV-USB+DT112W/4GBCL) SOFTWARE ANTIVIRUS TRUSTPORT PORTATIL USB incluye USB 4GB+PROMO,238.36
ANTIVIRUS,SOTP6,(ISO1B1P001XX3) LICENCIA TRUST PORT INTERNET SECURITY 2011 OEM 3 SERIALES ACT -1 AÑO,748.18
MICROSOFT OFFICE,SOMI00406,(T5D-00406) SOFTWARE OFFICE HOME & BUSINESS 2010 32-BIT/X64 ESPAÑOL,"2,273.10"
MICROSOFT OFFICE,SOMI01542,(9QA-01542) SOFTWARE MICROSOFT OEM OFFICE SB 2007 W32 ESP 1PK V.2 W/OFCPRO2007TRIAL(MLK),"2,864.02"
MICROSOFT OFFICE,SOMI01185,"(FQC-00750/FQC-04635)SIST. OPERATIVO WINDOWS 7 PROFESSIONAL, 32BIT, ESPAÑOL, OEM","1,920.35"
MICROSOFT OFFICE,SOMI00103,"(GJC-00390/GJC-00573/GJC-00599)SIST.OPERATIVO WINDOWS 7 STARTER,32BIT,ESPAÑO",44.39
MICROSOFT OFFICE,SOTP19,LICENCIA TRUST PORT BASICO 2012 OEM 10 SERIALES 2 ENGINES,172.50
MICROSOFT OFFICE,WSOMI03267,18M (79G-03267) OFFICE HOME AND STUD 2010 BDL CON MOUSE 32-BIT/X64 SPANISH,1.00
ANTIVIRUS,SOTP15,(FS01B11P001BXX) LICENCIA TRUSTPORT ANTIVIRUS BASICO PARA SERVIDOR 2012 2 ENGINES WIN 2K,70.40
ANTIVIRUS,SOKY9,"-NVO- (TMKS-029) ANTIVIRUS KASPERSKY 2012, 10 USUARIOS / 1 AÑO","1,168.56"
MICROSOFT OFFICE,PROMO3,"(SOMI00184+PRINE3400) SIST. OPERATIVO W7 HOME BASIC, OEM + PROCESADOR INTEL CEL. DC 3400","1,416.78"
